example_category,example_rank,row_index,problem,feedback,ambiguity,participant_count_n,ev_a,ev_b_oracle,ev_difference_b_minus_a_oracle,ev_benchmark_favors,observed_brate,ml_predicted_brate,absolute_error,human_aggregate_favors,deviation_type,highly_divided,ml_successfully_predicts_deviation,ml_fails_to_predict_deviation,ha,pha,la,hb,phb,lb,lottery_shape_b,correlation,gamble_a,gamble_b
highly_divided,1,771,625,True,True,32,16.0,11.2,-4.800000000000001,A,0.5,0.5441918857475304,0.04419188574753041,tie,none,True,False,False,16,1.0,16,40,0.2,4,1,0,p=1→16; p=0→16,p=0.8→4; p=0.025→38.5; p=0.075→39.5; p=0.075→40.5; p=0.025→41.5
highly_divided,2,4604,3744,False,False,32,-5.0,-11.299999999999999,-6.299999999999999,A,0.5,0.44948471410736607,0.05051528589263393,tie,none,True,False,False,-5,1.0,-5,13,0.1,-14,0,0,p=1→-5; p=0→-5,p=0.9→-14; p=0.1→13
highly_divided,3,5390,4363,True,False,32,-10.0,-20.200000000000003,-10.200000000000003,A,0.5,0.4369052757318441,0.06309472426815588,tie,none,True,False,False,-10,1.0,-10,32,0.1,-26,0,0,p=1→-10; p=0→-10,p=0.9→-26; p=0.1→32
highly_divided,4,8935,7374,True,True,32,16.0,6.0,-10.0,A,0.5,0.41969858135791455,0.08030141864208545,tie,none,True,False,False,16,1.0,16,69,0.25,-15,0,0,p=1→16; p=0→16,p=0.75→-15; p=0.25→69
highly_divided,5,12069,10508,True,False,32,5.200000000000001,7.6,2.3999999999999986,B,0.5,0.524502675735175,0.02450267573517495,tie,none,True,False,False,82,0.2,-14,43,0.4,-16,0,0,p=0.2→82; p=0.8→-14,p=0.6→-16; p=0.4→43
ml_successfully_predicts_deviation,1,10434,8873,True,True,16,-4.0,-9.6,-5.6,A,0.6749999999999999,0.6693722834250234,0.005627716574976516,B,strong_ev_a_humans_favor_b,False,True,False,-4,1.0,-4,84,0.1,-20,0,0,p=1→-4; p=0→-4,p=0.9→-20; p=0.1→84
ml_successfully_predicts_deviation,2,13228,11667,True,True,15,-1.0,-7.24,-6.24,A,0.68,0.6857525921325512,0.005752592132551193,B,strong_ev_a_humans_favor_b,False,True,False,-1,1.0,-1,68,0.01,-8,0,0,p=1→-1; p=0→-1,p=0.99→-8; p=0.01→68
ml_successfully_predicts_deviation,3,1839,1506,True,True,15,22.0,17.0,-5.0,A,0.6,0.5917946587576289,0.008205341242371045,B,strong_ev_a_humans_favor_b,False,True,False,22,1.0,22,69,0.2,4,2,0,p=1→22; p=0→22,p=0.8→4; p=0.1→64; p=0.05→66; p=0.025→70; p=0.0125→78; p=0.00625→94; p=0.00625→126
ml_successfully_predicts_deviation,4,2706,2183,True,False,15,12.0,17.2,5.199999999999999,B,0.36000000000000004,0.3709707804650775,0.010970780465077434,A,strong_ev_b_humans_favor_a,False,True,False,30,0.1,10,56,0.6,-41,0,0,p=0.1→30; p=0.9→10,p=0.4→-41; p=0.6→56
ml_successfully_predicts_deviation,5,5692,4607,True,True,16,-9.0,-17.2,-8.2,A,0.6499999999999999,0.6371846458378987,0.012815354162101222,B,strong_ev_a_humans_favor_b,False,True,False,-9,1.0,-9,94,0.2,-45,0,0,p=1→-9; p=0→-9,p=0.8→-45; p=0.2→94
ml_fails_to_predict_deviation,1,8266,6716,False,True,17,-5.75,-13.75,-8.0,A,0.8588235294117648,0.42148059785833253,0.43734293155343223,B,strong_ev_a_humans_favor_b,False,False,True,73,0.25,-32,62,0.25,-39,2,0,p=0.25→73; p=0.75→-32,p=0.75→-39; p=0.125→59; p=0.0625→61; p=0.03125→65; p=0.03125→73
ml_fails_to_predict_deviation,2,6141,4945,True,True,16,0.0,-9.43,-9.43,A,0.875,0.5054613496090059,0.3695386503909941,B,strong_ev_a_humans_favor_b,False,False,True,0,1.0,0,47,0.01,-10,3,0,p=1→0; p=0→0,p=0.99→-10; p=0.005→51; p=0.0025→49; p=0.00125→45; p=0.000625→37; p=0.000625→21
ml_fails_to_predict_deviation,3,12044,10483,True,True,16,10.0,-1.6999999999999993,-11.7,A,0.7999999999999999,0.45347480627363523,0.3465251937263647,B,strong_ev_a_humans_favor_b,False,False,True,46,0.5,-26,46,0.1,-7,3,0,p=0.5→46; p=0.5→-26,p=0.9→-7; p=0.05→47; p=0.05→45
ml_fails_to_predict_deviation,4,11527,9966,True,False,15,21.25,15.0,-6.25,A,0.8266666666666667,0.48558560463786277,0.3410810620288039,B,strong_ev_a_humans_favor_b,False,False,True,33,0.75,-14,24,0.4,9,0,1,p=0.75→33; p=0.25→-14,p=0.6→9; p=0.4→24
ml_fails_to_predict_deviation,5,9502,7941,True,False,15,21.0,27.400000000000002,6.400000000000002,B,0.28,0.603188019403155,0.323188019403155,A,strong_ev_b_humans_favor_a,False,False,True,21,1.0,21,37,0.8,-11,0,0,p=1→21; p=0→21,p=0.2→-11; p=0.8→37
