row_index,problem,feedback,ambiguity,participant_count_n,ev_a,ev_b_oracle,ev_difference_b_minus_a_oracle,ev_benchmark_favors,observed_brate,ml_predicted_brate,absolute_error,human_aggregate_favors,deviation_type,highly_divided,ml_successfully_predicts_deviation,ml_fails_to_predict_deviation,ha,pha,la,hb,phb,lb,lottery_shape_b,correlation,gamble_a,gamble_b
251,202,True,True,16,13.75,6.75,-7.0,A,0.55,0.5406598637568573,0.009340136243142783,B,none,False,False,False,66,0.05,11,97,0.05,2,1,1,p=0.05→66; p=0.95→11,p=0.95→2; p=0.000390625→93.5; p=0.00273438→94.5; p=0.00820313→95.5; p=0.0136719→96.5; p=0.0136719→97.5; p=0.00820313→98.5; p=0.00273438→99.5; p=0.000390625→100.5
257,208,True,True,16,21.8,31.6,9.8,B,0.7875000000000001,0.7514286859415812,0.0360713140584189,B,none,False,False,False,45,0.6,-13,55,0.1,29,1,0,p=0.6→45; p=0.4→-13,p=0.9→29; p=0.00078125→51.5; p=0.00546875→52.5; p=0.0164063→53.5; p=0.0273438→54.5; p=0.0273438→55.5; p=0.0164063→56.5; p=0.00546875→57.5; p=0.00078125→58.5
260,211,True,True,16,25.8,25.400000000000002,-0.3999999999999986,A,0.6375,0.6598266462700019,0.022326646270001915,B,none,False,False,False,72,0.4,-5,59,0.4,3,1,-1,p=0.4→72; p=0.6→-5,p=0.6→3; p=0.0125→56.5; p=0.0625→57.5; p=0.125→58.5; p=0.125→59.5; p=0.0625→60.5; p=0.0125→61.5
263,214,False,False,16,24.0,22.049999999999997,-1.9500000000000028,A,0.4625,0.5184629264984217,0.05596292649842172,A,none,True,False,False,24,1.0,24,24,0.95,-15,2,0,p=1→24; p=0→24,p=0.05→-15; p=0.475→18; p=0.2375→20; p=0.11875→24; p=0.059375→32; p=0.0296875→48; p=0.0148437→80; p=0.0148438→144
264,214,True,False,15,24.0,22.049999999999997,-1.9500000000000028,A,0.5733333333333334,0.5039416213981669,0.06939171193516647,B,none,False,False,False,24,1.0,24,24,0.95,-15,2,0,p=1→24; p=0→24,p=0.05→-15; p=0.475→18; p=0.2375→20; p=0.11875→24; p=0.059375→32; p=0.0296875→48; p=0.0148437→80; p=0.0148438→144
284,232,False,False,16,27.0,25.5,-1.5,A,0.25,0.3844654945098283,0.1344654945098283,A,none,False,False,False,27,0.4,27,75,0.5,-24,0,0,p=0.4→27; p=0.6→27,p=0.5→-24; p=0.5→75
285,232,True,False,15,27.0,25.5,-1.5,A,0.3733333333333333,0.3855401594823701,0.012206826149036787,A,none,False,False,False,27,0.4,27,75,0.5,-24,0,0,p=0.4→27; p=0.6→27,p=0.5→-24; p=0.5→75
301,244,True,True,20,-1.0,-3.799999999999999,-2.799999999999999,A,0.77,0.6834355481272588,0.0865644518727412,B,none,False,False,False,15,0.2,-5,88,0.1,-14,1,0,p=0.2→15; p=0.8→-5,p=0.9→-14; p=0.00078125→84.5; p=0.00546875→85.5; p=0.0164063→86.5; p=0.0273438→87.5; p=0.0273438→88.5; p=0.0164063→89.5; p=0.00546875→90.5; p=0.00078125→91.5
302,245,False,False,16,7.67,12.25,4.58,B,0.375,0.43756485228890973,0.06256485228890973,A,none,False,False,False,8,0.99,-25,58,0.25,-3,3,0,p=0.99→8; p=0.01→-25,p=0.75→-3; p=0.125→61; p=0.0625→59; p=0.03125→55; p=0.03125→47
303,245,True,False,16,7.67,12.25,4.58,B,0.4875,0.4762227160644049,0.011277283935595073,A,none,True,False,False,8,0.99,-25,58,0.25,-3,3,0,p=0.99→8; p=0.01→-25,p=0.75→-3; p=0.125→61; p=0.0625→59; p=0.03125→55; p=0.03125→47
333,270,False,False,16,10.0,14.2,4.199999999999999,B,0.625,0.656366786489268,0.03136678648926805,B,none,False,False,False,10,1.0,10,43,0.2,7,0,0,p=1→10; p=0→10,p=0.8→7; p=0.2→43
334,270,True,False,16,10.0,14.2,4.199999999999999,B,0.7374999999999999,0.6487708300754246,0.08872916992457536,B,none,False,False,False,10,1.0,10,43,0.2,7,0,0,p=1→10; p=0→10,p=0.8→7; p=0.2→43
350,284,False,False,18,22.0,33.8,11.799999999999997,B,0.8333333333333335,0.7519168959646908,0.08141643736864268,B,none,False,False,False,22,1.0,22,38,0.4,31,0,0,p=1→22; p=0→22,p=0.6→31; p=0.4→38
363,295,False,True,16,5.000000000000001,-1.9999999999999998,-7.000000000000001,A,0.28750000000000003,0.4354930590652056,0.14799305906520555,A,none,False,False,False,61,0.2,-9,-1,0.8,-6,1,0,p=0.2→61; p=0.8→-9,p=0.2→-6; p=0.00625→-4.5; p=0.04375→-3.5; p=0.13125→-2.5; p=0.21875→-1.5; p=0.21875→-0.5; p=0.13125→0.5; p=0.04375→1.5; p=0.00625→2.5
364,295,True,True,15,5.000000000000001,-1.9999999999999998,-7.000000000000001,A,0.3733333333333333,0.4321759904420744,0.05884265710874109,A,none,False,False,False,61,0.2,-9,-1,0.8,-6,1,0,p=0.2→61; p=0.8→-9,p=0.2→-6; p=0.00625→-4.5; p=0.04375→-3.5; p=0.13125→-2.5; p=0.21875→-1.5; p=0.21875→-0.5; p=0.13125→0.5; p=0.04375→1.5; p=0.00625→2.5
379,308,False,False,15,11.0,10.690000000000001,-0.3099999999999987,A,0.4266666666666667,0.5214682323655301,0.09480156569886339,A,none,False,False,False,11,1.0,11,79,0.01,10,0,0,p=1→11; p=0→11,p=0.99→10; p=0.01→79
380,308,True,False,16,11.0,10.690000000000001,-0.3099999999999987,A,0.65,0.5260898504668815,0.12391014953311852,B,none,False,False,False,11,1.0,11,79,0.01,10,0,0,p=1→11; p=0→11,p=0.99→10; p=0.01→79
395,320,True,True,19,26.800000000000004,35.6,8.799999999999997,B,0.7684210526315789,0.7209435535872857,0.047477499044293214,B,none,False,False,False,31,0.9,-11,98,0.2,20,1,0,p=0.9→31; p=0.1→-11,p=0.8→20; p=0.00625→95.5; p=0.03125→96.5; p=0.0625→97.5; p=0.0625→98.5; p=0.03125→99.5; p=0.00625→100.5
404,328,True,True,16,11.25,11.84,0.5899999999999999,B,0.2500000000000001,0.32664664654846637,0.07664664654846626,A,none,False,False,False,21,0.25,8,12,0.99,-4,0,0,p=0.25→21; p=0.75→8,p=0.01→-4; p=0.99→12
409,332,False,False,16,4.0,12.4,8.4,B,0.8624999999999999,0.8237653433948391,0.038734656605160844,B,none,False,False,False,4,1.0,4,16,0.6,7,0,0,p=1→4; p=0→4,p=0.4→7; p=0.6→16
416,338,True,True,18,-8.0,-8.0,0.0,tie,0.4777777777777778,0.4560860532024521,0.0216917245753257,A,none,True,False,False,13,0.5,-29,1,0.25,-11,0,0,p=0.5→13; p=0.5→-29,p=0.75→-11; p=0.25→1
419,341,True,False,16,-0.9999999999999982,-4.6000000000000005,-3.6000000000000023,A,0.2375,0.33587441258681033,0.09837441258681034,A,none,False,False,False,6,0.8,-29,1,0.2,-6,1,0,p=0.8→6; p=0.2→-29,p=0.8→-6; p=0.00625→-1.5; p=0.03125→-0.5; p=0.0625→0.5; p=0.0625→1.5; p=0.03125→2.5; p=0.00625→3.5
420,342,True,False,18,24.950000000000003,19.5,-5.450000000000003,A,0.4111111111111112,0.36541642534295016,0.04569468576816105,A,none,False,False,False,25,0.95,24,30,0.25,16,2,0,p=0.95→25; p=0.05→24,p=0.75→16; p=0.125→27; p=0.0625→29; p=0.03125→33; p=0.03125→41
422,344,False,False,16,10.25,11.0,0.75,B,0.6,0.6909770774725227,0.0909770774725227,B,none,False,False,False,80,0.25,-13,19,0.2,9,0,1,p=0.25→80; p=0.75→-13,p=0.8→9; p=0.2→19
437,357,True,False,16,-3.0,-4.199999999999999,-1.1999999999999993,A,0.6499999999999999,0.5418841528732083,0.10811584712679156,B,none,False,False,False,-3,1.0,-3,19,0.2,-10,0,0,p=1→-3; p=0→-3,p=0.8→-10; p=0.2→19
439,359,True,False,16,-8.0,-5.0,3.0,B,0.6625,0.5549931079493541,0.1075068920506459,B,none,False,False,False,27,0.5,-43,95,0.2,-30,2,1,p=0.5→27; p=0.5→-43,p=0.8→-30; p=0.1→91; p=0.05→93; p=0.025→97; p=0.0125→105; p=0.0125→121
455,372,True,False,16,7.0,9.4,2.4000000000000004,B,0.775,0.6494281350528057,0.1255718649471943,B,none,False,False,False,7,1.0,7,31,0.2,4,2,0,p=1→7; p=0→7,p=0.8→4; p=0.1→29; p=0.05→31; p=0.05→35
462,379,False,False,16,2.0,6.0,4.0,B,0.825,0.8186990056414483,0.0063009943585516925,B,none,False,False,False,2,1.0,2,7,0.75,3,1,0,p=1→2; p=0→2,p=0.25→3; p=0.09375→5.5; p=0.28125→6.5; p=0.28125→7.5; p=0.09375→8.5
463,379,True,False,15,2.0,6.0,4.0,B,0.8,0.8790960707366117,0.07909607073661162,B,none,False,False,False,2,1.0,2,7,0.75,3,1,0,p=1→2; p=0→2,p=0.25→3; p=0.09375→5.5; p=0.28125→6.5; p=0.28125→7.5; p=0.09375→8.5
484,395,True,False,16,25.25,25.8,0.5500000000000007,B,0.6125,0.5951953757169128,0.01730462428308721,B,none,False,False,False,36,0.75,-7,33,0.4,21,0,0,p=0.75→36; p=0.25→-7,p=0.6→21; p=0.4→33
487,398,True,True,16,-10.0,-16.5,-6.5,A,0.5499999999999999,0.5546193414569291,0.004619341456929216,B,none,True,False,False,-10,1.0,-10,1,0.5,-34,0,0,p=1→-10; p=0→-10,p=0.5→-34; p=0.5→1
491,401,True,False,17,24.0,26.700000000000003,2.700000000000003,B,0.4,0.460447636193787,0.06044763619378696,A,none,False,False,False,24,1.0,24,32,0.9,-21,0,0,p=1→24; p=0→24,p=0.1→-21; p=0.9→32
492,402,False,False,16,-8.0,-5.8,2.2,B,0.775,0.7311100049529132,0.043889995047086794,B,none,False,False,False,-8,1.0,-8,-5,0.8,-9,1,0,p=1→-8; p=0→-8,p=0.2→-9; p=0.025→-7.5; p=0.125→-6.5; p=0.25→-5.5; p=0.25→-4.5; p=0.125→-3.5; p=0.025→-2.5
493,402,True,False,16,-8.0,-5.8,2.2,B,0.825,0.7423581209434518,0.08264187905654818,B,none,False,False,False,-8,1.0,-8,-5,0.8,-9,1,0,p=1→-8; p=0→-8,p=0.2→-9; p=0.025→-7.5; p=0.125→-6.5; p=0.25→-5.5; p=0.25→-4.5; p=0.125→-3.5; p=0.025→-2.5
494,403,True,False,17,27.0,25.0,-2.0,A,0.03529411764705883,0.17838922882734967,0.14309511118029083,A,none,False,False,False,27,1.0,27,27,0.5,23,0,0,p=1→27; p=0→27,p=0.5→23; p=0.5→27
499,407,True,False,19,-8.0,-4.6,3.4000000000000004,B,0.8210526315789475,0.7336222151465297,0.08743041643241778,B,none,False,False,False,-8,1.0,-8,29,0.2,-13,1,0,p=1→-8; p=0→-8,p=0.8→-13; p=0.0015625→25.5; p=0.0109375→26.5; p=0.0328125→27.5; p=0.0546875→28.5; p=0.0546875→29.5; p=0.0328125→30.5; p=0.0109375→31.5; p=0.0015625→32.5
514,418,True,False,16,25.0,26.0,1.0,B,0.6625,0.652409419606051,0.010090580393948945,B,none,False,False,False,25,1.0,25,29,0.75,17,1,0,p=1→25; p=0→25,p=0.25→17; p=0.00585938→25.5; p=0.0410156→26.5; p=0.123047→27.5; p=0.205078→28.5; p=0.205078→29.5; p=0.123047→30.5; p=0.0410156→31.5; p=0.00585938→32.5
519,422,False,False,16,18.4,18.0,-0.3999999999999986,A,0.28750000000000003,0.3219664204523655,0.034466420452365476,A,none,False,False,False,22,0.1,18,18,1.0,18,1,0,p=0.1→22; p=0.9→18,p=0.5→17.5; p=0.5→18.5
520,422,True,False,16,18.4,18.0,-0.3999999999999986,A,0.375,0.32254422196118404,0.05245577803881596,A,none,False,False,False,22,0.1,18,18,1.0,18,1,0,p=0.1→22; p=0.9→18,p=0.5→17.5; p=0.5→18.5
522,424,False,False,16,1.0,6.500000000000002,5.500000000000002,B,0.575,0.5486258679954745,0.02637413200452543,B,none,False,False,False,30,0.5,-28,12,0.9,-43,0,0,p=0.5→30; p=0.5→-28,p=0.1→-43; p=0.9→12
526,427,False,False,16,5.800000000000001,-1.6099999999999999,-7.41,A,0.575,0.4635680191333853,0.11143198086661465,B,none,False,False,False,89,0.2,-15,37,0.01,-2,3,0,p=0.2→89; p=0.8→-15,p=0.99→-2; p=0.005→40; p=0.0025→38; p=0.00125→34; p=0.00125→26
536,434,False,True,17,10.200000000000003,5.25,-4.950000000000003,A,0.4705882352941176,0.606661656084893,0.1360734207907754,A,none,True,False,False,39,0.4,-9,20,0.75,-39,1,0,p=0.4→39; p=0.6→-9,p=0.25→-39; p=0.0234375→17.5; p=0.117188→18.5; p=0.234375→19.5; p=0.234375→20.5; p=0.117188→21.5; p=0.0234375→22.5
537,434,True,True,17,10.200000000000003,5.25,-4.950000000000003,A,0.5058823529411766,0.5466707149373281,0.040788361996151545,B,none,True,False,False,39,0.4,-9,20,0.75,-39,1,0,p=0.4→39; p=0.6→-9,p=0.25→-39; p=0.0234375→17.5; p=0.117188→18.5; p=0.234375→19.5; p=0.234375→20.5; p=0.117188→21.5; p=0.0234375→22.5
554,446,True,False,16,10.0,7.5,-2.5,A,0.2375,0.2976102571961092,0.060110257196109185,A,none,False,False,False,10,1.0,10,57,0.25,-9,0,0,p=1→10; p=0→10,p=0.75→-9; p=0.25→57
555,447,True,False,17,-3.1999999999999993,4.000000000000002,7.200000000000001,B,0.7032679738562092,0.7268255668720925,0.023557593015883338,B,none,False,False,False,31,0.4,-26,37,0.4,-18,1,0,p=0.4→31; p=0.6→-26,p=0.6→-18; p=0.05→35.5; p=0.15→36.5; p=0.15→37.5; p=0.05→38.5
566,457,True,True,16,12.0,19.7,7.699999999999999,B,0.9375,0.891844481338072,0.04565551866192796,B,none,False,False,False,12,1.0,12,33,0.05,19,1,0,p=1→12; p=0→12,p=0.95→19; p=0.025→32.5; p=0.025→33.5
569,459,True,False,16,4.0,12.25,8.25,B,0.8375,0.7417854285588029,0.0957145714411971,B,none,False,False,False,4,1.0,4,25,0.25,8,3,0,p=1→4; p=0→4,p=0.75→8; p=0.125→30; p=0.0625→28; p=0.03125→24; p=0.015625→16; p=0.0078125→0; p=0.0078125→-32
578,465,True,True,15,25.55,24.75,-0.8000000000000007,A,0.44,0.5167297397678091,0.07672973976780911,A,none,False,False,False,36,0.05,25,75,0.25,8,1,0,p=0.05→36; p=0.95→25,p=0.75→8; p=0.125→74.5; p=0.125→75.5
589,475,True,False,15,10.0,6.0,-4.0,A,0.3644444444444445,0.41717035397065194,0.052725909526207426,A,none,False,False,False,54,0.2,-1,34,0.5,-22,0,0,p=0.2→54; p=0.8→-1,p=0.5→-22; p=0.5→34
591,477,True,True,16,26.1,26.0,-0.10000000000000142,A,0.5875,0.5341325220790518,0.0533674779209482,B,none,False,False,False,63,0.1,22,26,1.0,26,1,0,p=0.1→63; p=0.9→22,p=0.03125→23.5; p=0.15625→24.5; p=0.3125→25.5; p=0.3125→26.5; p=0.15625→27.5; p=0.03125→28.5
598,483,False,True,16,12.0,13.629999999999999,1.629999999999999,B,0.725,0.8293321543887606,0.10433215438876065,B,none,False,False,False,12,1.0,12,76,0.01,13,0,0,p=1→12; p=0→12,p=0.99→13; p=0.01→76
599,483,True,True,17,12.0,13.629999999999999,1.629999999999999,B,0.7764705882352941,0.8316155905046153,0.055145002269321175,B,none,False,False,False,12,1.0,12,76,0.01,13,0,0,p=1→12; p=0→12,p=0.99→13; p=0.01→76
617,499,True,False,18,4.800000000000001,6.0,1.1999999999999993,B,0.4944444444444445,0.39026770286780355,0.10417674157664097,A,none,True,False,False,12,0.2,3,18,0.75,-30,0,0,p=0.2→12; p=0.8→3,p=0.25→-30; p=0.75→18
640,520,True,False,16,20.0,22.75,2.75,B,0.375,0.5219721856623463,0.14697218566234627,A,none,False,False,False,20,1.0,20,88,0.25,1,0,0,p=1→20; p=0→20,p=0.75→1; p=0.25→88
645,524,True,False,16,12.000000000000002,7.0,-5.000000000000002,A,0.2875,0.3911233806449683,0.10362338064496834,A,none,False,False,False,25,0.8,-40,9,0.9,-11,3,0,p=0.8→25; p=0.2→-40,p=0.1→-11; p=0.45→12; p=0.225→10; p=0.1125→6; p=0.1125→-2
651,529,True,False,17,-10.0,-20.1,-10.100000000000001,A,0.10588235294117647,0.20366037651409083,0.09777802357291436,A,none,False,False,False,-10,1.0,-10,-3,0.1,-22,0,0,p=1→-10; p=0→-10,p=0.9→-22; p=0.1→-3
654,531,False,False,16,-9.0,-12.0,-3.0,A,0.35,0.4167359969262787,0.06673599692627874,A,none,False,False,False,-9,1.0,-9,-7,0.8,-32,1,0,p=1→-9; p=0→-9,p=0.2→-32; p=0.00625→-10.5; p=0.04375→-9.5; p=0.13125→-8.5; p=0.21875→-7.5; p=0.21875→-6.5; p=0.13125→-5.5; p=0.04375→-4.5; p=0.00625→-3.5
655,531,True,False,15,-9.0,-12.0,-3.0,A,0.6666666666666666,0.43886977459389465,0.22779689207277198,B,none,False,False,False,-9,1.0,-9,-7,0.8,-32,1,0,p=1→-9; p=0→-9,p=0.2→-32; p=0.00625→-10.5; p=0.04375→-9.5; p=0.13125→-8.5; p=0.21875→-7.5; p=0.21875→-6.5; p=0.13125→-5.5; p=0.04375→-4.5; p=0.00625→-3.5
669,542,True,False,16,17.25,16.5,-0.75,A,0.6749999999999999,0.6689532697660612,0.006046730233938757,B,none,False,False,False,81,0.25,-4,75,0.1,10,1,0,p=0.25→81; p=0.75→-4,p=0.9→10; p=0.0125→73.5; p=0.0375→74.5; p=0.0375→75.5; p=0.0125→76.5
676,548,False,True,16,5.0,-11.5,-16.5,A,0.16250000000000006,0.14612357206248278,0.016376427937517285,A,none,False,False,False,5,1.0,5,-10,0.9,-25,0,0,p=1→5; p=0→5,p=0.1→-25; p=0.9→-10
677,548,True,True,17,5.0,-11.5,-16.5,A,0.09411764705882353,0.0889610444192547,0.005156602639568825,A,none,False,False,False,5,1.0,5,-10,0.9,-25,0,0,p=1→5; p=0→5,p=0.1→-25; p=0.9→-10
680,550,True,False,32,13.0,17.4,4.399999999999999,B,0.4875,0.6412724164888796,0.15377241648887957,A,none,True,False,False,13,1.0,13,25,0.6,6,0,0,p=1→13; p=0→13,p=0.4→6; p=0.6→25
687,555,False,False,16,16.819999999999997,16.2,-0.6199999999999974,A,0.5375,0.541289889718042,0.003789889718042061,B,none,True,False,False,17,0.99,-1,27,0.6,0,1,0,p=0.99→17; p=0.01→-1,p=0.4→0; p=0.3→26.5; p=0.3→27.5
688,555,True,False,16,16.819999999999997,16.2,-0.6199999999999974,A,0.475,0.5244667635012757,0.04946676350127577,A,none,True,False,False,17,0.99,-1,27,0.6,0,1,0,p=0.99→17; p=0.01→-1,p=0.4→0; p=0.3→26.5; p=0.3→27.5
