row_index,problem,feedback,ambiguity,participant_count_n,gamble_a,gamble_b,expected_value_a,expected_value_b_oracle,expected_value_difference_b_minus_a_oracle,expected_value_benchmark,actual_brate,predicted_brate,residual_predicted_minus_actual,absolute_error,possible_modeling_considerations
8902,7341,True,True,16,p=1→22; p=0→22,p=0.1→9; p=0.9→28,22.0,26.099999999999998,4.099999999999998,B,0.3875,0.665073845839987,0.27757384583998695,0.27757384583998695,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
9791,8230,True,False,17,p=0.4→52; p=0.6→7,p=1→25,25.0,25.0,0.0,tie,0.2823529411764706,0.5579280362376512,0.2755750950611806,0.2755750950611806,"Feedback condition: a binary indicator cannot represent realized experience histories; Expected values are close, so prediction depends on other represented structure"
1189,972,True,False,17,p=0.1→46; p=0.9→0,p=0.6→-24; p=0.4→34,4.6000000000000005,-0.7999999999999972,-5.399999999999998,A,0.5058823529411764,0.23088618166456634,-0.27499617127661014,0.27499617127661014,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; Aggregate choices are nearly evenly divided
10757,9196,True,False,18,p=0.2→93; p=0.8→0,p=0.8→3; p=0.2→70,18.6,16.4,-2.200000000000003,A,0.7222222222222221,0.4499767576268492,-0.2722454645953729,0.2722454645953729,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark
12542,10981,True,False,16,p=1→25; p=0→25,p=0.1→-50; p=0.9→33,25.0,24.7,-0.3000000000000007,A,0.65,0.3782040204529887,-0.27179597954701135,0.27179597954701135,"Feedback condition: a binary indicator cannot represent realized experience histories; Expected values are close, so prediction depends on other represented structure; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count"
7176,5802,True,True,16,p=0.25→61; p=0.75→-11,p=0.6→-9; p=0.2→33.5; p=0.2→34.5,7.0,8.200000000000003,1.2000000000000028,B,0.8250000000000002,0.5543074209278165,-0.2706925790721837,0.2706925790721837,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; The aggregate target is based on a relatively small participant count
2168,1759,True,True,15,p=0.5→23; p=0.5→-29,p=0.9→-10; p=0.1→22,-3.0,-6.8,-3.8,A,0.6933333333333332,0.42355607880398444,-0.2697772545293488,0.2697772545293488,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
14207,12646,True,False,15,p=0.1→25; p=0.9→6,p=0.75→1; p=0.125→37.5; p=0.125→38.5,7.9,10.25,2.3499999999999996,B,0.26666666666666666,0.5334257295483922,0.2667590628817255,0.2667590628817255,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
12863,11302,True,True,17,p=1→5; p=0→5,p=0.8→-8; p=0.2→29,5.0,-0.5999999999999996,-5.6,A,0.17647058823529413,0.4423511979524132,0.265880609717119,0.265880609717119,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories
8977,7416,True,False,16,p=0.4→70; p=0.6→-8,p=0.75→18; p=0.125→43; p=0.0625→45; p=0.03125→49; p=0.03125→57,23.2,25.0,1.8000000000000007,B,0.4125,0.6767904131396749,0.26429041313967494,0.26429041313967494,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
9753,8192,True,False,15,p=0.99→-1; p=0.01→-5,p=0.05→-15; p=0.475→-6; p=0.2375→-4; p=0.11875→0; p=0.059375→8; p=0.059375→24,-1.04,-2.6500000000000004,-1.6100000000000003,A,0.7999999999999999,0.53615736848371,-0.26384263151628995,0.26384263151628995,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
7557,6113,True,True,15,p=0.25→54; p=0.75→-25,p=0.9→-6; p=0.05→12; p=0.025→14; p=0.0125→18; p=0.00625→26; p=0.003125→42; p=0.0015625→74; p=0.0015625→138,-5.25,-3.6000000000000005,1.6499999999999995,B,0.8800000000000001,0.6162276962124542,-0.2637723037875459,0.2637723037875459,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; The aggregate target is based on a relatively small participant count
14380,12819,True,False,15,p=1→23; p=0→23,p=0.75→9; p=0.00195312→71.5; p=0.0136719→72.5; p=0.0410156→73.5; p=0.0683594→74.5; p=0.0683594→75.5; p=0.0410156→76.5; p=0.0136719→77.5; p=0.00195312→78.5,23.0,25.5,2.5,B,0.28437710437710434,0.5476466220706514,0.26326951769354706,0.26326951769354706,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
5750,4653,True,True,17,p=1→10; p=0→10,p=0.99→-5; p=0.01→17,10.0,-4.78,-14.780000000000001,A,0.14117647058823532,0.39897125004548967,0.2577947794572544,0.2577947794572544,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Expected-value difference lies in the training-distribution tail
12930,11369,True,False,15,p=0.2→20; p=0.8→15,p=0.05→3; p=0.95→26,16.0,24.849999999999998,8.849999999999998,B,0.52,0.7774135633490437,0.25741356334904364,0.25741356334904364,Feedback condition: a binary indicator cannot represent realized experience histories; Expected-value difference lies in the training-distribution tail; Aggregate choices are nearly evenly divided; The aggregate target is based on a relatively small participant count
